2019-09-20,04:59:37am, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20,05:02:37am, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20,05:05:38am, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20,05:08:38am, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:11:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:14:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:17:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:20:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:23:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:26:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:29:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:32:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:35:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:38:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:41:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:44:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:47:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:50:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:53:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:56:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 05:59:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:02:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:05:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:08:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:11:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:14:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:17:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:20:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:23:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:26:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:29:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:32:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:35:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:38:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:40:13am, cpu temperature = NULL, IoT status = , IoT ip-addr = 64.233.173.14
2019-09-20, 06:40:20am, cpu temperature = NULL, IoT status = , IoT ip-addr = 64.233.173.14
2019-09-20, 06:41:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:44:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:47:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:50:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:53:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:56:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 06:59:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:02:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:05:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:08:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:11:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:14:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:17:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:20:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:23:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:26:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:29:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:32:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:35:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:38:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:41:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:44:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:47:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:50:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:53:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:56:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 07:59:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:02:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:05:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:08:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:11:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:14:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:17:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:20:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:23:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:26:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:27:27am, cpu temperature = NULL, IoT status = , IoT ip-addr = 182.255.14.60
2019-09-20, 08:29:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:32:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:35:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:38:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:41:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:44:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:47:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:50:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:53:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:56:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 08:59:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:02:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:05:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:08:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:11:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:14:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:17:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:20:38am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
2019-09-20, 09:23:37am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.175.68.171
