2019-10-15, 12:02:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:05:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:08:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:11:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:14:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:17:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:20:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:23:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:26:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:29:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:32:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:35:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:38:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:41:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:44:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:47:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:50:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:53:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:56:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 12:59:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:02:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:05:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:08:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:11:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:14:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:17:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:20:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:23:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:26:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:29:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:32:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:35:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:38:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:41:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:44:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:47:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:50:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:53:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:56:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 01:59:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:02:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:05:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:08:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:11:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:14:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:17:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:20:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:23:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:26:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:29:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:32:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:35:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:38:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:41:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:44:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:47:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:50:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:53:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:56:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 02:59:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:02:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:05:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:08:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:11:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:14:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:17:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:20:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:23:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:26:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:29:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:32:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:35:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:38:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:41:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:44:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:47:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:50:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:53:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:56:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 03:59:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 04:02:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 04:05:46am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 04:08:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
2019-10-15, 04:11:47am, cpu temperature = NULL, IoT status = 1, IoT ip-addr = 118.174.208.17
